movie_id,title,original_title,plot,genres,year,rating,vote_count,director,runtime,tagline,mood_tags,dominant_emotions,review_count,tmdb_top_rated_rank
278,肖申克的救赎,The Shawshank Redemption,1947年，小有成就的青年银行家安迪因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德，请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟络，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步。,剧情|犯罪,1994,8.713,29297,弗兰克·德拉邦特,142,恐惧会囚禁灵魂，而希望能让你自由,非常hope|值得一看|情感真挚,hope,5,1
238,教父,The Godfather,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,剧情|犯罪,1972,8.684,22108,弗朗西斯·科波拉,175,,值得推荐|非常love|情感丰富,love,5,2
240,教父2,The Godfather Part II,影片主要讲述第二代教父麦克·柯里昂的奋斗历程，同时回忆了第一代教父维多·柯里昂创业的艰辛，反映了不同历史时期，两代教父的事业、家庭生活。麦克为儿子托尼举行圣餐仪式和庆祝活动的当夜，麦克在家中遭到袭击，凶手被人灭口，面临接管家族事业以来的重重危机，麦克回忆起了父亲维多·柯里昂年轻时在美国的创业历程。麦克一边调查袭击的真相，一边继续开展赌博、酒店等生意，和另一个黑帮人物海门罗斯斗智斗勇，不断扩大势力。终于，麦克的不法行为引起了政府的关注，麦克受到一系列的指控；同时，麦克的家庭也遇到了危机，夫妻感情濒临破裂；而最让麦克痛心的，却是家族中，亲人的背叛。和第一代教父其乐融融的家庭生活比起来，麦克无疑很失败。,剧情|犯罪,1974,8.57,13365,弗朗西斯·科波拉,200,,非常anger|非常tension|非常sadness,sadness|anger|tension,4,3
424,辛德勒的名单,Schindler's List,1939年9月，二次世界大战方兴未艾，德军进驻波兰，将纳綷军队组成“精卫队”，下令重新安顿犹太人的户口。德商辛德勒值此战乱，一方面迎逢德军各级军官，另一方面则进行低价引进犹太劳工，并委任犹太工头以撒处理场内大小事。辛德勒虽藉机大发战争财，但对以撒却颇为仁厚而备受爱戴。“精卫队”司令阿蒙生性残暴，以枪杀劳工为乐，整个占领区如同炼狱般。1941年3月，德军将维斯图拉河以南归为犹太区，阿蒙更变本加厉，1944年4月甚至大规模展开焚尸行动，辛德勒看不惯如此行为便和以撒商议出一计，以所有资产行贿阿蒙，以捷克新厂需要大批劳工制作军火为由，列出一份长至千人的名单，运往家乡布蓝恩利兹躲藏，待德方发现时，大战结束了，辛德勒则仍以战争罪犯法办。,剧情|历史|战争,1993,8.6,16885,史蒂文·斯皮尔伯格,195,谁拯救了一条生命，谁就拯救了整个世界。,紧张刺激|非常fear|非常sadness,sadness|fear,4,4
389,十二怒汉,12 Angry Men,本片展现了美国司法体系的内幕。改编自同名电视剧的经典影片。陪审团由一群白人组成，他们即将对一名被控谋杀父亲的波多黎各少年做出判决。最终，一场发生在闷热房间里、紧张的午后史诗般的故事就此展开。,剧情,1957,8.5,9555,西德尼·卢梅特,96,命悬其手，死视其意,引人深思|非常tension|情感强烈,tension,5,5
129,千与千寻,千と千尋の神隠し,小女孩千寻被困在一个陌生的精灵世界。当她的父母发生神秘变化后，她必须鼓起自己从未发现的勇气，才能解救自己，并将家人带回外面的世界。[华特迪士尼工作室],动画|家庭|奇幻,2001,8.534,17667,宫崎骏,125,隧道的另一头，是不可思议的小镇,值得推荐|非常joy|情感丰富,joy,2,6
155,蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠加大了打击犯罪的力度。在吉姆·戈登警长和地方检察官哈维·丹特的协助下，蝙蝠侠着手瓦解残存的、肆虐哥谭街头的犯罪组织。他们的合作卓有成效，但很快，他们发现自己也成为了一个新兴犯罪天才——哥谭市民口中的“小丑”——所引发的混乱的牺牲品。[华纳兄弟],剧情|动作|犯罪|惊悚,2008,8.525,34767,克里斯托弗·诺兰,152,黎明前的夜是最漆黑的,非常anger|非常tension|非常sadness,tension|sadness|anger,5,7
19404,勇夺芳心,दिलवाले दुल्हनिया ले जायेंगे,乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？,喜剧|剧情|爱情,1995,8.5,4519,Aditya Chopra,190,,非常joy|非常love|温暖治愈,joy|love,1,8
497,绿里奇迹,The Green Mile,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。,奇幻|剧情|犯罪,1999,8.503,18577,弗兰克·德拉邦特,189,,非常love|非常sadness,sadness|love,4,9
496243,寄生虫,기생충,朴家：堪称富裕的典范。金家：精于世故，却一无所有。机缘巧合之下，两家走到了一起，金家嗅到了商机。在大学生基宇的精心策划下，金家的孩子们迅速成为朴家的家庭教师和艺术治疗师。很快，两家形成了一种互惠互利的关系。金家提供“不可或缺”的奢华服务，而朴家则在不知不觉中为他们提供全家的开销。然而，当一个寄生虫般的闯入者威胁到金家新获得的舒适生活时，一场残酷而阴险的权力争夺战爆发了，险些摧毁金家和朴家之间脆弱的平衡。[Neon],喜剧|惊悚|剧情,2019,8.496,19757,奉俊昊,132,,引人深思|非常tension|情感强烈,tension,5,10
