rank,title,original_title,year,rating,vote_count,director,genres,mood_tags,imdb_id
1,肖申克的救赎,The Shawshank Redemption,1994,8.713,29297,弗兰克·德拉邦特,剧情|犯罪,非常hope|值得一看|情感真挚,tt0111161
2,教父,The Godfather,1972,8.684,22108,弗朗西斯·科波拉,剧情|犯罪,值得推荐|非常love|情感丰富,tt0068646
3,教父2,The Godfather Part II,1974,8.57,13365,弗朗西斯·科波拉,剧情|犯罪,非常anger|非常tension|非常sadness,tt0071562
4,辛德勒的名单,Schindler's List,1993,8.6,16885,史蒂文·斯皮尔伯格,剧情|历史|战争,紧张刺激|非常fear|非常sadness,tt0108052
5,十二怒汉,12 Angry Men,1957,8.5,9555,西德尼·卢梅特,剧情,引人深思|非常tension|情感强烈,tt0050083
6,千与千寻,千と千尋の神隠し,2001,8.534,17667,宫崎骏,动画|家庭|奇幻,值得推荐|非常joy|情感丰富,tt0245429
7,蝙蝠侠：黑暗骑士,The Dark Knight,2008,8.525,34767,克里斯托弗·诺兰,剧情|动作|犯罪|惊悚,非常anger|非常tension|非常sadness,tt0468569
8,勇夺芳心,दिलवाले दुल्हनिया ले जायेंगे,1995,8.5,4519,Aditya Chopra,喜剧|剧情|爱情,非常joy|非常love|温暖治愈,tt0112870
9,绿里奇迹,The Green Mile,1999,8.503,18577,弗兰克·德拉邦特,奇幻|剧情|犯罪,非常love|非常sadness,tt0120689
10,寄生虫,기생충,2019,8.496,19757,奉俊昊,喜剧|惊悚|剧情,引人深思|非常tension|情感强烈,tt6751668
11,指环王3：王者无敌,The Lord of the Rings: The Return of the King,2003,8.491,25703,彼得·杰克逊,冒险|奇幻|动作,非常hope|值得一看|情感真挚,tt0167260
12,低俗小说,Pulp Fiction,1994,8.488,29326,昆汀·塔伦蒂诺,惊悚|犯罪|喜剧,非常anger|非常tension|非常joy,tt0110912
13,你的名字。,君の名は。,2016,8.479,12127,新海诚,动画|爱情|剧情,非常hope|有些anger|非常love,tt5311514
14,黄金三镖客,"Il buono, il brutto, il cattivo",1966,8.5,9269,赛尔乔·莱昂内,西部,非常anger|非常tension|非常fear,tt0060196
15,星际穿越,Interstellar,2014,8.463,38323,克里斯托弗·诺兰,冒险|剧情|科幻,值得推荐|非常joy|情感丰富,tt0816692
16,阿甘正传,Forrest Gump,1994,8.5,28895,罗伯特·泽米吉斯,喜剧|剧情|爱情,非常hope|非常joy,tt0109830
17,好家伙,GoodFellas,1990,8.453,13804,马丁·斯科塞斯,剧情|犯罪,非常anger|非常sadness,tt0099685
18,七武士,七人の侍,1954,8.451,4036,黑泽明,动作|剧情,非常joy|非常love|温暖治愈,tt0047478
19,萤火虫之墓,火垂るの墓,1988,8.446,6210,高畑勋,动画|剧情|战争,值得推荐|非常joy|情感丰富,tt0095327
20,美丽人生,La vita è bella,1997,8.44,13652,罗伯托·贝尼尼,喜剧|剧情,非常hope|非常love,tt0118799
21,搏击俱乐部,Fight Club,1999,8.438,31043,大卫·芬奇,剧情|惊悚,非常anger|值得一看|情感真挚,tt0137523
22,妙不可言,Cosas imposibles,2021,8.44,417,Ernesto Contreras,家庭|剧情,非常joy|非常sadness,tt10032342
23,切腹,切腹,1962,8.4,1130,小林正树,动作|剧情|历史,非常tension|非常sadness,tt0056058
24,天堂电影院,Nuovo Cinema Paradiso,1988,8.43,4657,朱塞佩·托纳多雷,剧情|爱情,非常joy|非常love|温暖治愈,tt0095765
25,上帝之城,Cidade de Deus,2002,8.427,7888,费尔南多·梅里尔斯,剧情|犯罪,非常anger|非常sadness,tt0317248
26,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,2001,8.426,26650,彼得·杰克逊,冒险|奇幻|动作,值得推荐|非常joy|情感丰富,tt0120737
27,惊魂记,Psycho,1960,8.4,10646,阿尔弗雷德·希区柯克,恐怖|惊悚|悬疑,值得推荐|非常joy|情感丰富,tt0054215
28,蛊惑兄弟,O Auto da Compadecida,2000,8.4,1192,Guel Arraes,喜剧|剧情|奇幻|爱情,温暖治愈|非常joy|非常love,tt0271383
29,飞越疯人院,One Flew Over the Cuckoo's Nest,1975,8.413,11061,米洛斯·福尔曼,剧情,非常hope|值得一看|情感真挚,tt0073486
30,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,2002,8.411,23140,彼得·杰克逊,冒险|奇幻|动作,非常hope|值得一看|情感真挚,tt0167261
31,加百列的地狱,Gabriel's Inferno,2020,8.403,2437,Tosca Musk,爱情|剧情,非常love|非常sadness,tt11316854
32,美国往事,Once Upon a Time in America,1984,8.4,5799,赛尔乔·莱昂内,剧情|犯罪,非常hope|非常love,tt0087843
33,蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,2018,8.395,16629,鲍勃·佩尔西凯蒂,动画|动作|冒险|科幻,非常hope|非常joy|非常tension,tt4633694
34,素媛,소원,2013,8.395,808,李濬益,剧情,非常hope|值得一看|情感真挚,tt3153634
35,星球大战5：帝国反击战,The Empire Strikes Back,1980,8.394,17860,厄文·克什纳,冒险|动作|科幻,非常hope|非常joy|非常tension,tt0080684
36,哈尔的移动城堡,ハウルの動く城,2004,8.392,10636,宫崎骏,奇幻|动画|冒险,非常hope|悲伤但充满希望|非常sadness,tt0347149
37,声之形,映画 聲の形,2016,8.386,4275,山田尚子,动画|剧情|爱情,非常tension|非常fear|紧张刺激,tt5323662
38,钢琴家,The Pianist,2002,8.38,9784,罗曼·波兰斯基,剧情|战争,非常anger|非常love,tt0253474
39,七宗罪,Se7en,1995,8.377,22326,大卫·芬奇,犯罪|悬疑|惊悚,非常anger|非常tension,tt0114369
40,爆裂鼓手,Whiplash,2014,8.375,16094,达米恩·查泽雷,剧情|音乐,引人深思|非常tension|情感强烈,tt2582802
41,露西·希姆斯和和平王子,Lucy Shimmers and the Prince of Peace,2020,8.4,330,Rob Diamond,剧情|家庭,非常hope|心灵平静|非常peace,tt11916254
42,盗梦空间,Inception,2010,8.371,38286,克里斯托弗·诺兰,动作|科幻|冒险,非常hope|值得一看|情感真挚,tt1375666
43,加百列的地狱：第二部,Gabriel's Inferno: Part II,2020,8.369,1534,Tosca Musk,爱情|剧情,非常hope|值得一看|情感真挚,tt13535454
